ID_Venta,ID_Producto,ID_Cliente,Fecha_Venta,Cantidad,Precio_Unitario
10511,110,57,2023-01-24,5,688.53
8108,148,674,2023-03-21,0,202.92
1962,152,743,2023-10-29,1,102.48
2589,158,283,2022-09-21,2,268.15
1283,104,396,2021-08-18,3,661.3
9698,108,579,2021-08-01,4,1103.75
7343,146,279,2023-05-19,-1,51.46
5069,111,367,2023-08-24,5,728.32
3123,101,684,2022-08-10,2,1122.18
6861,142,3,2021-10-14,4,655.06
11051,141,582,2023-11-10,1,622.0
5556,122,817,2023-02-05,5,-35.31134414015588
3181,113,687,2023-03-22,5,810.2
4302,105,559,2023-02-24,0,1218.46
10338,147,632,2023-07-08,5,217.51
8049,125,170,2022-12-02,5,339.85
4633,115,558,2023-07-04,3,281.0
6976,154,780,2023-09-26,4,67.19
7800,132,737,2023-01-12,4,348.44
3469,130,737,2023-06-12,3,246.83
6664,106,782,06-03-2023,3,868.36
9701,129,115,2021-04-14,5,252.98
4509,118,192,2022-09-24,1,726.38
6910,116,755,2022-09-01,4,853.51
4274,119,136,2023-02-24,4,582.82
7485,153,282,2021-09-18,3,-74.84904846475969
10793,122,298,2022-02-01,4,752.17
8027,156,276,2023-03-02,5,504.19
5273,134,1705,2023-07-07,1,315.73
1252,130,621,2024-01-21,3,290.72
9229,153,439,2022-12-08,1,35.35
11702,106,237,2023-02-05,3,816.74
8578,117,205,2021-06-10,2,604.58
177,162,11,2023-06-02,1,242.12
1021,124,565,2023-01-18,3,492.5
5011,9123,407,2023-07-28,3,293.04
3679,102,767,2021-09-09,5,1218.76
11313,9345,810,2023-12-08,2,561.18
1348,138,141,2021-08-16,3,479.53
8786,109,723,2023-08-21,3,1206.49
2366,117,523,2023-07-23,2,591.73
5037,129,337,2022-06-23,3,226.29
4476,128,193,2023-10-18,5,648.78
3752,107,252,2023-03-19,5,640.04
6019,104,463,2022-12-22,1,692.46
9328,149,451,2023-02-12,5,155.29
326,113,435,2022-10-13,2,
4263,112,698,2022-10-30,3,737.59
1296,134,445,2024-01-27,1,348.74
7,113,334,2023-07-02,2,735.49
9317,141,766,2023-04-08,5,713.0
878,146,337,2023-05-25,5,0.0
11093,132,11,2021-04-15,3,341.85
7822,140,594,2023-04-29,2,368.68
2415,110,758,2022-06-23,5,746.27
3312,114,160,2023-10-09,1,
7005,138,180,2021-03-08,1,459.54
487,102,251,2023-06-01,5,1349.62
11734,154,106,2021-04-20,5,68.14
3566,113,808,2023-02-28,4,761.63
7273,131,195,2021-07-16,1,442.19
691,158,408,2021-03-07,4,314.65
5341,157,687,2022-08-10,1,0.0
5038,124,440,2023-04-02,4,416.22
1737,144,652,2023-01-22,3,377.86
7832,110,647,2021-10-31,5,714.98
2071,162,146,2023-09-10,1,249.55
7951,135,105,2023-04-15,1,732.26
10731,123,144,2021-09-10,3,343.87
5357,122,806,2023-11-24,3,772.34
3714,153,373,2023-05-24,2,836.5767515880648
6361,110,21,2023-02-20,1,755.34
11278,120,14,2021-07-09,5,-68.08574529405206
8511,142,182,2023-10-24,1,759.08
10148,102,198,2022-06-22,5,39529.859256108226
8366,128,780,2023-02-01,4,677.89
10260,113,125,2023-08-25,4,890.05
1151,156,331,2023-10-12,5,477.38
6830,133,699,2023-02-21,4,256.71
3509,105,307,2023-04-30,4,1288.52
3973,105,374,2022-01-18,1,1385.85
223,142,312,2023-05-14,3,679.07
339,134,750,2021-03-04,4,348.57
4202,109,280,2023-01-22,5,
5427,158,67,2023-05-22,3,384.57
1695,131,632,2023-03-13,5,424.86
10234,111,155,2022-03-22,2,745.92
6211,125,349,2023-12-16,2,335.15
7797,113,703,12-29-2022,5,808.32
2084,138,278,2022-04-09,4,465.92
10048,127,546,2022-12-17,1,363.81
3151,118,512,2023-01-14,1,677.5
134,115,775,2021-09-14,5,3803.6678642816646
